unix_soc, micro_sec, frame_number, optical_input, keypad_button, channel_1, channel_2, channel_3, channel_4, channel_5, channel_6, channel_7, channel_8
1659375612, 339158, 509, 0, 0, 4626358, 2096120, -128582, 7259867, 6222581, 4193964, 4178302, 4546636
1659375612, 341158, 509, 0, 0, 4614806, 2066760, -137454, 7255907, 6219692, 4152877, 4174100, 4523341
1659375612, 343158, 509, 0, 0, 4605596, 2042504, -144499, 7252814, 6217194, 4121421, 4170126, 4506296
1659375612, 345158, 509, 0, 0, 4603607, 2035815, -146202, 7252220, 6216535, 4116035, 4168391, 4504399
1659375612, 347158, 509, 0, 0, 4605901, 2041041, -144572, 7252713, 6216936, 4126831, 4168713, 4511408
1659375612, 349158, 509, 0, 0, 4613516, 2059870, -139039, 7255273, 6218713, 4156201, 4170997, 4528686
1659375612, 351158, 509, 0, 0, 4629233, 2098176, -127795, 7261366, 6222776, 4211888, 4175880, 4560329
1659375612, 353158, 509, 0, 0, 4641788, 2130022, -119035, 7266183, 6226251, 4254364, 4180786, 4583192
1659375612, 355158, 509, 0, 0, 4643056, 2135286, -118374, 7266596, 6226878, 4257108, 4182800, 4582870
1659375612, 357158, 509, 0, 0, 4635995, 2119449, -123680, 7263766, 6225403, 4231044, 4181695, 4566671
1659375612, 359158, 509, 0, 0, 4626574, 2095988, -130902, 7260458, 6223178, 4196708, 4178715, 4546679
1659375612, 361158, 509, 0, 0, 4615107, 2066756, -139709, 7256406, 6220343, 4155737, 4174585, 4523447
1659375612, 363158, 509, 0, 0, 4605838, 2042261, -146787, 7253125, 6217865, 4123841, 4170644, 4506156
1659375612, 365158, 509, 0, 0, 4603733, 2035296, -148595, 7252495, 6217136, 4118067, 4168831, 4504037
1659375612, 367158, 509, 0, 0, 4605944, 2040314, -147054, 7253155, 6217523, 4128579, 4169095, 4510893
1659375612, 369079, 510, 0, 0, 4613455, 2058833, -141592, 7255797, 6219284, 4157469, 4171378, 4527936
1659375612, 371079, 510, 0, 0, 4629049, 2096758, -130456, 7261729, 6223296, 4212633, 4176223, 4559339
1659375612, 373079, 510, 0, 0, 4641811, 2129046, -121546, 7266552, 6226806, 4255818, 4181173, 4582634
1659375612, 375079, 510, 0, 0, 4643224, 2134775, -120770, 7267003, 6227499, 4259240, 4183224, 4582722
1659375612, 377079, 510, 0, 0, 4636251, 2119204, -126021, 7264103, 6226068, 4233514, 4182174, 4566706
1659375612, 379079, 510, 0, 0, 4626856, 2095786, -133257, 7260796, 6223854, 4199185, 4179211, 4546705
1659375612, 381079, 510, 0, 0, 4615431, 2066627, -142054, 7256784, 6221022, 4158274, 4175076, 4523521
1659375612, 383079, 510, 0, 0, 4606019, 2041836, -149249, 7253556, 6218513, 4125930, 4171076, 4505974
1659375612, 385079, 510, 0, 0, 4603838, 2034619, -151105, 7252969, 6217808, 4119801, 4169246, 4503651
1659375612, 387079, 510, 0, 0, 4605967, 2039430, -149593, 7253456, 6218192, 4130014, 4169494, 4510353
1659375612, 389079, 510, 0, 0, 4613242, 2057504, -144313, 7256036, 6219817, 4158351, 4171638, 4527033
1659375612, 391079, 510, 0, 0, 4628671, 2095150, -133315, 7262063, 6223727, 4213206, 4176339, 4558209
1659375612, 393079, 510, 0, 0, 4641629, 2127888, -124285, 7267069, 6227324, 4257119, 4181341, 4581912
1659375612, 395079, 510, 0, 0, 4643309, 2134150, -123292, 7267408, 6228135, 4261309, 4183551, 4582426
1659375612, 397079, 510, 0, 0, 4636420, 2118784, -128496, 7264698, 6226718, 4235865, 4182558, 4566529
1659375612, 399079, 510, 0, 0, 4627050, 2095464, -135748, 7261449, 6224494, 4201649, 4179621, 4546551
